Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,FCO,AZ,61,150,57.80,2025-02-11,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-11,18:00:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-11,15:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-11,21:50:00,2024-10-19
MAD,FCO,IB,649,145,95.80,2025-02-11,11:30:00,2024-10-19
MAD,FCO,IB,651,145,95.80,2025-02-11,13:05:00,2024-10-19
MAD,FCO,IB,653,145,95.80,2025-02-11,15:45:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-11,17:10:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-11,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-11,18:00:00,2024-10-19
MAD,FCO,IB,647,145,149.80,2025-02-11,08:45:00,2024-10-19
MAD,FCO,AZ,7117,145,197.80,2025-02-11,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,261.80,2025-02-11,07:05:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-12,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,49.80,2025-02-12,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-12,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-12,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-12,18:00:00,2024-10-19
MAD,FCO,IB,657,145,84.80,2025-02-12,21:50:00,2024-10-19
MAD,FCO,IB,653,145,95.80,2025-02-12,15:45:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-12,17:10:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-12,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-12,18:00:00,2024-10-19
MAD,FCO,IB,649,145,149.80,2025-02-12,11:30:00,2024-10-19
MAD,FCO,IB,647,145,264.80,2025-02-12,08:45:00,2024-10-19
MAD,FCO,AZ,7117,145,285.80,2025-02-12,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,369.80,2025-02-12,07:05:00,2024-10-19
MAD,FCO,UX,1047,145,49.80,2025-02-13,15:00:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-13,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-13,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-13,18:00:00,2024-10-19
MAD,FCO,UX,1043,145,76.80,2025-02-13,07:05:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-13,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-13,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-13,18:00:00,2024-10-19
MAD,FCO,IB,647,145,122.80,2025-02-13,08:45:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-13,13:05:00,2024-10-19
MAD,FCO,IB,655,145,122.80,2025-02-13,17:10:00,2024-10-19
MAD,FCO,IB,649,145,149.80,2025-02-13,11:30:00,2024-10-19
MAD,FCO,IB,653,145,149.80,2025-02-13,15:45:00,2024-10-19
MAD,FCO,AZ,7115,145,237.80,2025-02-13,07:05:00,2024-10-19
MAD,FCO,AZ,7117,145,237.80,2025-02-13,15:00:00,2024-10-19
MAD,FCO,UX,1043,145,49.80,2025-02-14,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-14,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-14,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-14,18:00:00,2024-10-19
MAD,FCO,UX,1047,145,76.80,2025-02-14,15:00:00,2024-10-19
MAD,FCO,IB,655,145,95.80,2025-02-14,17:10:00,2024-10-19
MAD,FCO,IB,657,145,95.80,2025-02-14,21:50:00,2024-10-19
MAD,FCO,UX,3117,150,106.80,2025-02-14,11:45:00,2024-10-19
MAD,FCO,UX,3119,150,106.80,2025-02-14,18:00:00,2024-10-19
MAD,FCO,IB,647,145,122.80,2025-02-14,08:45:00,2024-10-19
MAD,FCO,IB,649,145,122.80,2025-02-14,11:30:00,2024-10-19
MAD,FCO,IB,651,145,122.80,2025-02-14,13:05:00,2024-10-19
MAD,FCO,IB,653,145,122.80,2025-02-14,15:45:00,2024-10-19
MAD,FCO,AZ,7117,145,261.80,2025-02-14,15:00:00,2024-10-19
MAD,FCO,AZ,7115,145,369.80,2025-02-14,07:05:00,2024-10-19
MAD,FCO,AZ,59,145,57.80,2025-02-15,05:50:00,2024-10-19
MAD,FCO,AZ,61,150,57.80,2025-02-15,11:45:00,2024-10-19
MAD,FCO,AZ,63,150,57.80,2025-02-15,18:00:00,2024-10-19
