Aeropuerto de Salida,Aeropuerto de Llegada,Código de la Aerolínea,Número de Vuelo,Duración (Minutos),Precio (EUR),Fecha de Salida,Hora de Salida,Fecha de extracción
MAD,CDG,IB,585,130,95.80,2025-02-07,09:50:00,2024-10-19
MAD,CDG,IB,591,130,108.80,2025-02-07,21:40:00,2024-10-19
MAD,CDG,AF,1401,140,147.30,2025-02-07,06:00:00,2024-10-19
MAD,CDG,IB,589,130,151.80,2025-02-07,15:50:00,2024-10-19
MAD,CDG,6X,1281,130,153.80,2025-02-07,15:30:00,2024-10-19
MAD,CDG,AF,1001,130,200.30,2025-02-07,10:00:00,2024-10-19
MAD,CDG,SK,9852,140,203.30,2025-02-07,06:00:00,2024-10-19
MAD,CDG,AF,1801,130,218.30,2025-02-07,17:55:00,2024-10-19
MAD,CDG,AF,1601,130,234.30,2025-02-07,16:20:00,2024-10-19
MAD,CDG,AF,1301,130,277.30,2025-02-07,12:25:00,2024-10-19
MAD,CDG,SK,9855,130,283.30,2025-02-07,10:00:00,2024-10-19
MAD,CDG,SK,9856,130,337.30,2025-02-07,16:20:00,2024-10-19
MAD,CDG,SK,9853,130,337.30,2025-02-07,17:55:00,2024-10-19
MAD,ORY,UX,1025,115,61.80,2025-02-07,16:30:00,2024-10-19
MAD,ORY,UX,1027,115,78.80,2025-02-07,08:00:00,2024-10-19
MAD,ORY,UX,1029,115,78.80,2025-02-07,14:25:00,2024-10-19
MAD,ORY,IB,571,125,108.80,2025-02-07,09:55:00,2024-10-19
MAD,ORY,IB,573,125,108.80,2025-02-07,11:35:00,2024-10-19
MAD,ORY,IB,569,125,127.80,2025-02-07,07:25:00,2024-10-19
MAD,ORY,IB,577,125,127.80,2025-02-07,14:30:00,2024-10-19
MAD,ORY,IB,583,125,127.80,2025-02-07,20:10:00,2024-10-19
MAD,ORY,IB,579,125,178.80,2025-02-07,16:10:00,2024-10-19
MAD,ORY,IB,581,125,178.80,2025-02-07,18:05:00,2024-10-19
MAD,CDG,IB,585,130,95.80,2025-02-08,09:50:00,2024-10-19
MAD,CDG,IB,589,130,95.80,2025-02-08,15:50:00,2024-10-19
MAD,CDG,IB,591,130,95.80,2025-02-08,21:40:00,2024-10-19
MAD,CDG,AF,1001,130,132.30,2025-02-08,10:00:00,2024-10-19
MAD,CDG,AF,1601,130,132.30,2025-02-08,16:20:00,2024-10-19
MAD,CDG,AF,1301,130,132.30,2025-02-08,12:25:00,2024-10-19
MAD,CDG,AF,1401,140,141.30,2025-02-08,06:00:00,2024-10-19
MAD,CDG,AF,1801,130,147.30,2025-02-08,17:55:00,2024-10-19
